CustomerAge,HousingTypeId,MonthlyGrossIncomeAmount,MonthlyNetIncomeAmount,ChildBirthYears,InternalAssets_PensionIns,InternalAssets_Funds,InternalAssets_Accounts,InternalAssets_UnpaidEquities,InternalDebts_Overdrawn,InternalDebts_UsedCredit,InternalDebts_Blanco,InternalDebts_Mortgage,InternalDebts_UnpaidEquities,InternalDebts_CreditCard,ExternalAssets_PensionIns,ExternalAssets_Funds,ExternalAssets_Accounts,ExternalAssets_Other,ExternalDebts_Mortgage,ExternalDebts_Blanco,ExternalDebts_CreditCard,ExternalDebts_Other,Advices_ordered
25,3,29000,22408,0,21801.57,0,584.06,0,0,0,0,0,0,1258.44,0,0,10000,0,0,0,0,0,7
53,1,30000,23130,0,171099.84,13230.13,16645.19,0,0,0,477110,0,0,0,0,0,0,0,0,0,0,0,7
49,2,67600,42335,0,526079.57,318513.78,63660.86,0,0,0,1900000,0,0,199,0,0,0,0,0,0,0,0,3
41,1,216667,106167,1,1395568.92,1853805.08,3265029.06,0,0,0,16740000,0,0,23148.24,0,7000000,0,0,0,0,0,0,1
46,3,35000,26602,0,164065.37,94041.69,745.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
69,2,17000,13744,0,0,0,46615.31,0,0,0,0,0,0,1140,0,0,0,1650000,0,0,0,0,1
26,3,25000,19520,0,0,0,59693.2,0,0,0,0,0,0,0,0,0,0,200000,0,0,0,0,1
44,1,32000,24532,1,161089.93,0,21624.11,0,0,231741.16,1050000,0,0,0,0,0,0,0,0,0,0,0,7
60,1,75000,45369,0,434132.31,0,102550.32,0,0,0,0,0,0,18635.13,0,0,0,0,0,0,0,0,3
66,2,21000,16632,0,0,43955.15,470486.07,0,0,3099265.54,0,0,0,0,0,0,150000,0,2250000,0,0,0,5
27,1,35200,26740,1,3497,31655.34,14213.92,0,0,0,1649210,0,0,0,0,0,0,0,0,0,0,0,7
43,1,24000,18798,0,60676.7,0,6008.14,0,0,0,0,74.95,0,0,0,0,0,0,110000,0,0,0,7
54,2,62000,40039,0,1377757.01,330958.66,974055.34,0,0,0,0,0,7740,14742.62,0,100000,0,0,0,0,0,0,1
73,1,23500,18409,0,0,407738.25,1378.99,0,0,0,799760,0,0,0,0,0,0,58500,0,0,0,0,7
24,3,30000,23130,0,0,112163.68,65042.25,0,0,0,0,0,0,0,0,30000,0,0,0,0,0,0,1
28,1,29000,22408,1,0,0,323416.89,0,0,0,2939668,0,0,0,0,40000,220000,0,0,0,0,0,2
30,3,30000,23130,0,11930.77,0,143044.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,1,35800,27154,1,31170.74,33864.42,70876.62,0,0,0,2133000,0,0,8147.57,0,0,0,0,0,0,0,0,3
61,2,80000,47419,1,2096762.41,105115.57,164551.12,0,0,0,0,0,0,0,0,0,1200000,0,1245000,0,0,0,1
62,1,30337,23356,0,447284.11,82722.52,265521.99,0,0,0,2000000,0,0,16588.22,0,32257,0,0,0,0,0,0,2
44,2,82400,48616,1,554292.32,203127.32,280836.06,0,0,0,9220000,0,0,0,0,1300000,0,200000,0,0,0,0,1
23,3,28300,21875,0,0,31189.19,83772.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
57,1,518460,238492,0,743925.21,198830.24,33133.62,0,0,155922,1816000,0,0,513.34,300000,0,0,0,0,0,0,0,7
31,2,35875,27167,1,5922.97,0,17187.21,0,0,0,891580,0,0,0,0,120000,0,0,0,0,0,0,7
34,2,53000,36183,1,32934.56,0,157369.38,0,0,0,4150090,0,0,0,90000,0,0,0,0,0,0,0,1
24,2,33000,25222,0,0,0,120383.78,0,0,0,628570,0,0,0,0,0,0,0,0,0,0,0,1
45,2,62000,40039,1,412136.2,39492.88,44781.63,0,0,275000,5238162,0,0,1759.94,0,0,0,100000,0,0,0,0,9
62,1,26000,20242,0,0,260265.56,3674.46,0,0,0,1021995,0,0,0,0,0,0,0,0,0,0,0,9
